Route,Method,Classification,Lockdown_Behavior,Normal_Auth_Required,Entitlement_Required,Status_Code_Unauth,Status_Code_Locked,Status_Code_Normal
/api/content-crew/run,POST,Paid_Feature_API,Unavailable_503,User_Token,seo_articles,401,503,200
/api/checkout/create,POST,Checkout_Gateway,Unavailable_503,None,None,400,503,200
/api/booking/list,GET,BookFlow_Admin,Hidden_404,Admin_Token,None,403,404,200
/api/booking/clear,POST,BookFlow_Mutation,Unavailable_503,Admin_Token,None,403,503,200
/api/booking/chat,POST,BookFlow_Conversational,Mutation_Disabled,None,None,200,200,200
/report/dossier/:slug,GET,Paid_Report,Unavailable_503,User_Token,None,401,503,200
/api/audit/dossier,GET,Paid_Report,Unavailable_503,User_Token,None,401,503,200
/api/payment/webhook,POST,Payment_Webhook,HMAC_Verified,HMAC_Signature,None,401,200,200
/api/webhook/lemonsqueezy,POST,Payment_Webhook,HMAC_Verified,HMAC_Signature,None,401,200,200
/api/*,GET,Unknown_Route,Default_Deny,None,None,404,404,404
/api/*,POST,Unknown_Route,Default_Deny,None,None,404,404,404
/*,PUT,Unsupported_Method,Method_Not_Allowed,None,None,405,405,405
/*,PATCH,Unsupported_Method,Method_Not_Allowed,None,None,405,405,405\n
